Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,1997-01-01,1997,1,1,,8.0,,5.5,,6.8,,11.2,,0.0,,3.7,,0.0,,3.7,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-02,1997,1,2,,7.5,,3.5,,5.5,,12.5,,0.0,,20.1,,0.0,,20.1,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-03,1997,1,3,,5.5,,1.5,,3.5,,14.5,,0.0,,2.3,,0.0,,2.3,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-04,1997,1,4,,5.5,,1.5,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-05,1997,1,5,,5.5,,1.5,,3.5,,14.5,,0.0,,37.8,,0.0,,37.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-06,1997,1,6,,6.0,,2.5,,4.3,,13.7,,0.0,,55.7,,0.0,,55.7,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-07,1997,1,7,,7.5,,4.0,,5.8,,12.2,,0.0,,21.7,,0.0,,21.7,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-08,1997,1,8,,7.5,,5.5,,6.5,,11.5,,0.0,,18.2,,0.0,,18.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-09,1997,1,9,,9.0,,6.0,,7.5,,10.5,,0.0,,0.8,,0.0,,0.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-10,1997,1,10,,8.0,,6.0,,7.0,,11.0,,0.0,,0.4,,0.0,,0.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1997-01-11,1997,1,11,,6.5,,5.0,,5.8,,12.2,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
