Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,1999-01-01,1999,1,1,,6.5,,4.0,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-02,1999,1,2,,7.5,,5.5,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-03,1999,1,3,,7.0,,5.0,,6.0,,12.0,,0.0,,5.0,,0.0,,5.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-04,1999,1,4,,8.0,,5.5,,6.8,,11.2,,0.0,,0.4,,0.0,,0.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-05,1999,1,5,,9.0,,7.0,,8.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-06,1999,1,6,,8.0,,6.0,,7.0,,11.0,,0.0,,4.4,,0.0,,4.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-07,1999,1,7,,8.0,,6.5,,7.3,,10.7,,0.0,,7.8,,0.0,,7.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-08,1999,1,8,,7.0,,5.5,,6.3,,11.7,,0.0,,36.0,,0.0,,36.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-09,1999,1,9,,8.0,,6.0,,7.0,,11.0,,0.0,,7.0,,0.0,,7.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-10,1999,1,10,,7.0,,6.0,,6.5,,11.5,,0.0,,56.6,,0.0,,56.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-11,1999,1,11,,7.5,,6.0,,6.8,,11.2,,0.0,,12.2,,0.0,,12.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-12,1999,1,12,,9.5,,6.0,,7.8,,10.2,,0.0,,0.6,,0.0,,0.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-13,1999,1,13,,8.5,,6.0,,7.3,,10.7,,0.0,,48.0,,0.0,,48.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1999-01-14,1999,1,14,,8.5,,6.0,,7.3,,10.7,,0.0,,7.2,,0.0,,7.2,,0,,,,,
