Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,2000-01-01,2000,1,1,,6.5,,3.5,,5.0,,13.0,,0.0,,9.0,,,M,,M,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-02,2000,1,2,,4.0,,0.5,,2.3,,15.7,,0.0,,10.8,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-03,2000,1,3,,7.5,,2.0,,4.8,,13.2,,0.0,,23.8,,0.0,,23.8,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-04,2000,1,4,,7.5,,4.5,,6.0,,12.0,,0.0,,3.8,,0.0,,3.8,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-05,2000,1,5,,6.5,,4.5,,5.5,,12.5,,0.0,,1.0,,0.0,,1.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-06,2000,1,6,,6.0,,5.0,,5.5,,12.5,,0.0,,7.0,,0.0,,7.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-07,2000,1,7,,7.5,,5.5,,6.5,,11.5,,0.0,,25.8,,0.0,,25.8,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-08,2000,1,8,,6.0,,3.5,,4.8,,13.2,,0.0,,12.8,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-09,2000,1,9,,5.0,,2.0,,3.5,,14.5,,0.0,,12.4,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-10,2000,1,10,,3.5,,1.0,,2.3,,15.7,,0.0,,2.0,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-11,2000,1,11,,3.0,,1.0,,2.0,,16.0,,0.0,,2.9,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-12,2000,1,12,,4.5,,1.0,,2.8,,15.2,,0.0,,16.6,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-13,2000,1,13,,5.0,,1.0,,3.0,,15.0,,0.0,,1.8,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-14,2000,1,14,,4.0,,1.0,,2.5,,15.5,,0.0,,4.4,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-15,2000,1,15,,2.0,,1.0,,1.5,,16.5,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-16,2000,1,16,,4.0,,-1.0,,1.5,,16.5,,0.0,,2.8,,,M,,M,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-17,2000,1,17,,6.0,,2.0,,4.0,,14.0,,0.0,,3.6,,0.0,,3.6,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-18,2000,1,18,,5.0,,1.5,,3.3,,14.7,,0.0,,0.8,,0.0,,0.8,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-19,2000,1,19,,5.0,,1.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-20,2000,1,20,,5.5,,1.5,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-21,2000,1,21,,7.5,,1.5,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-22,2000,1,22,,4.5,,3.5,,4.0,,14.0,,0.0,,0.2,,0.0,,0.2,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-23,2000,1,23,,6.5,,3.0,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-24,2000,1,24,,6.5,,2.0,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-25,2000,1,25,,5.0,,2.5,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-26,2000,1,26,,6.0,,3.5,,4.8,,13.2,,0.0,,0.2,,0.0,,0.2,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-27,2000,1,27,,7.5,,4.5,,6.0,,12.0,,0.0,,3.8,,0.0,,3.8,,,M,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-28,2000,1,28,,7.5,,6.0,,6.8,,11.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-29,2000,1,29,,9.5,,6.5,,8.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-30,2000,1,30,,10.0,,7.0,,8.5,,9.5,,0.0,,7.0,,0.0,,7.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2000-01-31,2000,1,31,,7.5,,5.0,,6.3,,11.7,,0.0,,19.2,,0.0,,19.2,,0,,,,,
