Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,2014-01-01,2014,1,1,†,8.0,,6.0,,7.0,,11.0,,0.0,,18.8,,0.0,,18.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-02,2014,1,2,†,8.0,,5.5,,6.8,,11.2,,0.0,,22.0,,0.0,,22.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-03,2014,1,3,†,6.5,,4.0,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-04,2014,1,4,†,5.5,,2.5,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-05,2014,1,5,†,6.5,,3.0,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-06,2014,1,6,†,9.0,,5.0,,7.0,,11.0,,0.0,,2.0,,0.0,,2.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-07,2014,1,7,†,8.0,,5.5,,6.8,,11.2,,0.0,,4.6,,0.0,,4.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-08,2014,1,8,†,7.5,,6.0,,6.8,,11.2,,0.0,,9.0,,0.0,,9.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-09,2014,1,9,†,7.5,,5.0,,6.3,,11.7,,0.0,,52.4,,0.0,,52.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-10,2014,1,10,†,6.5,,4.5,,5.5,,12.5,,0.0,,33.6,,0.0,,33.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-11,2014,1,11,†,7.0,,4.0,,5.5,,12.5,,0.0,,13.8,,0.0,,13.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2014-01-12,2014,1,12,†,9.5,,2.0,,5.8,,12.2,,0.0,,74.4,,0.0,,74.4,,0,,,,,
