Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,2013-01-01,2013,1,1,†,7.0,,4.0,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-02,2013,1,2,†,7.5,,4.5,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-03,2013,1,3,†,6.5,,5.5,,6.0,,12.0,,0.0,,0.8,,0.0,,0.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-04,2013,1,4,†,7.5,,5.0,,6.3,,11.7,,0.0,,2.2,,0.0,,2.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-05,2013,1,5,†,7.5,,4.5,,6.0,,12.0,,0.0,,18.8,,0.0,,18.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-06,2013,1,6,†,6.0,,3.0,,4.5,,13.5,,0.0,,22.2,,0.0,,22.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-07,2013,1,7,†,8.0,,4.0,,6.0,,12.0,,0.0,,6.4,,0.0,,6.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-08,2013,1,8,†,7.0,,4.0,,5.5,,12.5,,0.0,,22.4,,0.0,,22.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-09,2013,1,9,†,5.5,,2.5,,4.0,,14.0,,0.0,,4.6,,0.0,,4.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-10,2013,1,10,†,4.0,,2.5,,3.3,,14.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2013-01-11,2013,1,11,†,2.5,,-0.5,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
