------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.2
downloading device type, android
device, Armor X10 Pro
device name, Armor X10 Pro
downloading mode, manual
------------------------------,--------------------
serial number, 0475 6600 B751 0A
custom name, SC3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 53487
time diff [logger-smartphone](sec), 1739
lat, 50.723138
long, -126.617640
accuracy (m), 1.5
------------------------------,--------------------
time,temp
2022-07-16 17:00:29,17.0
2022-07-16 17:00:39,17.0
2022-07-16 17:00:49,17.0
2022-07-16 17:00:59,17.0
2022-07-16 17:01:09,17.0
2022-07-16 17:01:19,17.0
2022-07-16 17:01:29,17.0
2022-07-16 17:01:39,17.0
2022-07-16 17:01:49,17.5
2022-07-16 17:01:59,17.5
2022-07-16 17:02:09,17.5
2022-07-16 17:02:19,17.0
2022-07-16 17:02:29,17.5
2022-07-16 17:02:39,17.5
2022-07-16 17:02:49,17.5
2022-07-16 17:02:59,17.5
2022-07-16 17:03:09,17.5
2022-07-16 17:03:19,17.5
2022-07-16 17:03:29,17.5
2022-07-16 17:03:39,17.5
2022-07-16 17:03:49,17.5
2022-07-16 17:03:59,17.5
2022-07-16 17:04:09,17.5
2022-07-16 17:04:19,17.5
2022-07-16 17:04:29,17.5
2022-07-16 17:04:39,17.5
2022-07-16 17:04:49,17.5
2022-07-16 17:04:59,17.5
2022-07-16 17:05:09,17.5
2022-07-16 17:05:19,17.5
2022-07-16 17:05:29,17.5
2022-07-16 17:05:39,17.5
2022-07-16 17:05:49,17.5
2022-07-16 17:05:59,18.0
2022-07-16 17:06:09,18.0
2022-07-16 17:06:19,18.0
2022-07-16 17:06:29,18.0
2022-07-16 17:06:39,18.0
2022-07-16 17:06:49,18.0
2022-07-16 17:06:59,18.0
2022-07-16 17:07:09,18.0
2022-07-16 17:07:19,18.0
2022-07-16 17:07:29,18.0
2022-07-16 17:07:39,18.0
2022-07-16 17:07:49,18.0
2022-07-16 17:07:59,18.0
2022-07-16 17:08:09,18.0
2022-07-16 17:08:19,18.0
2022-07-16 17:08:29,18.0
2022-07-16 17:08:39,18.0
2022-07-16 17:08:49,18.0
2022-07-16 17:08:59,18.0
2022-07-16 17:09:09,18.0
2022-07-16 17:09:19,18.0
2022-07-16 17:09:29,18.0
2022-07-16 17:09:39,18.0
2022-07-16 17:09:49,18.5
2022-07-16 17:09:59,18.0
2022-07-16 17:10:09,18.0
2022-07-16 17:10:19,18.0
2022-07-16 17:10:29,18.0
2022-07-16 17:10:39,18.5
2022-07-16 17:10:49,18.5
2022-07-16 17:10:59,18.5
2022-07-16 17:11:09,18.5
